text,intent
I'm requesting a full refund,refund_request
I want to opt out of the subscription,subscription_cancel
My delivery window has passed,delivery_delay
My account shows invalid password,password_reset
Can you send me a password reset link,password_reset
Cancel my subscription please,subscription_cancel
Can you expedite my order,order_status
Do you have stores internationally,store_location
The product material is different,wrong_product
How does a computer work,unknown
What payment methods do you accept,payment_methods
I want to change my subscription tier,subscription_upgrade
I want to make a complaint,complaint
I can't access my account,account_problem
My refund status shows pending for days,refund_status
Can I get this product customized,product_information
"I submitted a cancellation, is it confirmed",order_cancel
My bank blocked the payment,payment_failed
What are your operating hours,business_hours
Good afternoon,greeting
Thanks for your help,thank_you
The product I received doesn't match my order,wrong_product
"That's great, thank you",thank_you
Are you open on Christmas,business_hours
How do I upgrade my plan,subscription_upgrade
I'm frustrated with the delivery delay,delivery_delay
Are you open on weekends,business_hours
Is this product organic,product_information
Is international shipping available for this item,product_information
The transaction was declined,payment_failed
I see a charge but no order confirmation,payment_failed
Where is this product manufactured,product_information
I want to cancel due to technical issues,subscription_cancel
"Hello, good to be here",greeting
What's the stock price of Tesla,unknown
Please process my refund as soon as possible,refund_request
"I was told my refund would take 5 days, it's been 10",refund_status
Is it too late to cancel,order_cancel
I've been trying to cancel for days,subscription_cancel
What is photosynthesis,unknown
The payment form won't submit,payment_failed
You sent the wrong shade of the color,wrong_product
Is your store wheelchair accessible,store_location
I'm waiting for my package,order_status
Have a good day,goodbye
Is my refund being processed,refund_status
Can I see more photos of this product,product_information
"Hey, I've been looking for help",greeting
Thanks for staying on top of this,thank_you
I can't delete my account,account_problem
I need to reset the password for my associated email,password_reset
The box was crushed and the product is damaged,damaged_product
I can't sync my data,technical_support
Thank you for your guidance,thank_you
What are your store locations,store_location
Are you open right now,business_hours
"I want to cancel my order, is there a fee",order_cancel
My account security questions aren't working,account_problem
My password reset isn't working,password_reset
Has the refund been credited to my card,refund_status
Can I pay in euros,payment_methods
"I need to cancel, I found a better price",order_cancel
My credit card was declined,payment_failed
This is unacceptable,complaint
"Hi, I'm looking for assistance",greeting
What's the return policy for this product,product_information
"Hello, appreciate your time",greeting
See you later,goodbye
The product is leaking,damaged_product
